Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
25	TR	A0AAN3M861	Potassium binding protein Kbp OS=Escherichia coli MS 85-1 OX=679202 GN=HMPREF9350_03633 PE=4 SV=1	Escherichia coli MS 85-1	149	760	100.0	100.0	9.7e-102
26	TR	A0A9Q7YPG9	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	760	100.0	100.0	9.7e-102
27	TR	A0A398QZE0	Potassium binding protein Kbp OS=Shigella boydii OX=621 GN=kbp PE=4 SV=1	Shigella boydii	149	760	100.0	100.0	9.7e-102
28	SP	P0ADE6	Potassium binding protein Kbp OS=Escherichia coli (strain K12) OX=83333 GN=kbp PE=1 SV=2	Escherichia coli (strain K12)	149	760	100.0	100.0	9.7e-102
29	SP	P0ADE7	Potassium binding protein Kbp OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=kbp PE=3 SV=2	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	149	760	100.0	100.0	9.7e-102
30	TR	F4T3U5	Potassium binding protein Kbp OS=Escherichia coli M605 OX=656417 GN=ECIG_01217 PE=4 SV=1	Escherichia coli M605	158	760	100.0	100.0	1.3e-101
31	TR	A0A0A6ZXI4	Potassium binding protein Kbp OS=Shigella dysenteriae 1617 OX=754093 GN=Asd1617_03835 PE=4 SV=1	Shigella dysenteriae 1617	158	760	100.0	100.0	1.3e-101
32	TR	A0A090NLN6	Potassium binding protein Kbp OS=Shigella dysenteriae WRSd3 OX=1401327 GN=WRSd3_00669 PE=4 SV=1	Shigella dysenteriae WRSd3	158	760	100.0	100.0	1.3e-101
33	TR	A0A1X3JD86	Potassium binding protein Kbp OS=Escherichia coli H386 OX=656397 GN=ECVG_01099 PE=4 SV=1	Escherichia coli H386	158	760	100.0	100.0	1.3e-101
34	TR	A0A192CAK0	Potassium binding protein Kbp OS=Escherichia coli O25b:H4 OX=941280 GN=WLH_01669 PE=4 SV=1	Escherichia coli O25b:H4	158	760	100.0	100.0	1.3e-101
35	TR	A0A2V2LIM0	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=ygaU PE=4 SV=1	Escherichia coli	149	759	99.3	100.0	1.4e-101
36	TR	S1PSC3	Potassium binding protein Kbp OS=Escherichia coli KTE182 OX=1181728 GN=A13A_02815 PE=4 SV=1	Escherichia coli KTE182	149	759	99.3	100.0	1.4e-101
37	TR	A0A5Q5ABA7	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=ygaU PE=4 SV=1	Escherichia coli	149	757	99.3	100.0	2.8e-101
38	TR	W1XE72	Potassium binding protein Kbp OS=Escherichia coli DORA_A_5_14_21 OX=1403943 GN=Q609_ECAC00055G0003 PE=4 SV=1	Escherichia coli DORA_A_5_14_21	149	756	99.3	99.3	3.9e-101
39	TR	A0ACD5G9H8	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	756	99.3	99.3	3.9e-101
40	TR	A0ACC5TW97	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	756	99.3	99.3	3.9e-101
41	TR	A0A0D8WE51	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	756	99.3	99.3	3.9e-101
42	TR	A0A1M0CYM4	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	756	99.3	99.3	3.9e-101
43	TR	Q0T198	Potassium binding protein Kbp OS=Shigella flexneri serotype 5b (strain 8401) OX=373384 GN=ygaU PE=4 SV=1	Shigella flexneri serotype 5b (strain 8401)	149	755	99.3	100.0	5.6e-101
44	TR	I6DRD0	Potassium binding protein Kbp OS=Shigella boydii 4444-74 OX=766140 GN=SB444474_3526 PE=4 SV=1	Shigella boydii 4444-74	149	755	99.3	100.0	5.6e-101
45	TR	A0AAV3H6X7	Potassium binding protein Kbp OS=Escherichia coli EC1870 OX=1005554 GN=ECEC1870_3710 PE=4 SV=1	Escherichia coli EC1870	149	755	99.3	100.0	5.6e-101
46	TR	W1EUX3	Potassium binding protein Kbp OS=Escherichia coli ISC7 OX=1432555 PE=4 SV=1	Escherichia coli ISC7	149	755	99.3	100.0	5.6e-101
47	TR	A0AAN1AEK4	Potassium binding protein Kbp OS=Escherichia coli O157:H7 OX=83334 GN=AU473_08610 PE=4 SV=1	Escherichia coli O157:H7	149	755	99.3	100.0	5.6e-101
48	TR	A0A0H3JJM9	Potassium binding protein Kbp OS=Escherichia coli O157:H7 OX=83334 GN=ygaU PE=4 SV=1	Escherichia coli O157:H7	149	755	99.3	100.0	5.6e-101
49	TR	A0AAP9MST9	Potassium binding protein Kbp OS=Escherichia coli O121 OX=1055537 GN=kbp PE=4 SV=1	Escherichia coli O121	149	755	99.3	100.0	5.6e-101
50	TR	B7N6P9	Potassium binding protein Kbp OS=Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056 GN=ygaU PE=4 SV=1	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	149	755	99.3	99.3	5.6e-101
51	TR	B1LPD8	Potassium binding protein Kbp OS=Escherichia coli (strain SMS-3-5 / SECEC) OX=439855 GN=EcSMS35_2785 PE=4 SV=1	Escherichia coli (strain SMS-3-5 / SECEC)	149	755	99.3	99.3	5.6e-101
52	TR	Q31X33	Potassium binding protein Kbp OS=Shigella boydii serotype 4 (strain Sb227) OX=300268 GN=ygaU PE=4 SV=1	Shigella boydii serotype 4 (strain Sb227)	149	755	99.3	100.0	5.6e-101
53	TR	A7ZQ96	Potassium binding protein Kbp OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=EcE24377A_2945 PE=4 SV=1	Escherichia coli O139:H28 (strain E24377A / ETEC)	149	755	99.3	100.0	5.6e-101
54	TR	A0A9P2ID77	Potassium binding protein Kbp OS=Escherichia coli O8 OX=1010796 GN=DP913_16395 PE=4 SV=1	Escherichia coli O8	149	755	99.3	100.0	5.6e-101
55	TR	A0AB36PG56	Potassium binding protein Kbp OS=Shigella flexneri 2a str. 301 OX=198214 GN=SF301_0901 PE=4 SV=1	Shigella flexneri 2a str. 301	149	755	99.3	100.0	5.6e-101
56	TR	A0A0E0XYZ5	Potassium binding protein Kbp OS=Escherichia coli O104:H4 (strain 2011C-3493) OX=1133852 GN=O3K_06225 PE=4 SV=1	Escherichia coli O104:H4 (strain 2011C-3493)	149	755	99.3	100.0	5.6e-101
57	TR	A0AAD2UE32	Potassium binding protein Kbp OS=Escherichia coli O103 OX=1055536 GN=kbp PE=4 SV=1	Escherichia coli O103	149	755	99.3	100.0	5.6e-101
58	TR	B7LE82	Potassium binding protein Kbp OS=Escherichia coli (strain 55989 / EAEC) OX=585055 GN=ygaU PE=4 SV=1	Escherichia coli (strain 55989 / EAEC)	149	755	99.3	100.0	5.6e-101
59	TR	A0A6N3R0N8	Potassium binding protein Kbp OS=Shigella flexneri CCH060 OX=754091 GN=SFCCH060_3263 PE=4 SV=1	Shigella flexneri CCH060	149	755	99.3	100.0	5.6e-101
60	TR	A0AAN3V5N5	Potassium binding protein Kbp OS=Escherichia coli 4.0967 OX=869687 GN=EC40967_2771 PE=4 SV=1	Escherichia coli 4.0967	149	755	99.3	100.0	5.6e-101
61	TR	I6CGW3	Potassium binding protein Kbp OS=Shigella flexneri K-315 OX=766150 GN=SFK315_3571 PE=4 SV=1	Shigella flexneri K-315	149	755	99.3	100.0	5.6e-101
62	TR	F5NYZ2	Potassium binding protein Kbp OS=Shigella flexneri K-227 OX=766147 GN=SFK227_3392 PE=4 SV=1	Shigella flexneri K-227	149	755	99.3	100.0	5.6e-101
63	TR	A0A7U9IX11	Potassium binding protein Kbp OS=Escherichia coli HVH 36 (4-5675286) OX=1280986 GN=G711_03128 PE=4 SV=1	Escherichia coli HVH 36 (4-5675286)	149	755	99.3	100.0	5.6e-101
64	TR	Q3YYJ2	Potassium binding protein Kbp OS=Shigella sonnei (strain Ss046) OX=300269 GN=ygaU PE=4 SV=1	Shigella sonnei (strain Ss046)	149	755	99.3	100.0	5.6e-101
65	TR	A0A6N3QQM9	Potassium binding protein Kbp OS=Shigella flexneri CDC 796-83 OX=945360 GN=SGF_00874 PE=4 SV=1	Shigella flexneri CDC 796-83	149	755	99.3	100.0	5.6e-101
66	TR	B2U080	Potassium binding protein Kbp OS=Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) OX=344609 GN=SbBS512_E3216 PE=4 SV=1	Shigella boydii serotype 18 (strain CDC 3083-94 / BS512)	149	755	99.3	100.0	5.6e-101
67	TR	A0A4P7TJ18	Potassium binding protein Kbp OS=Shigella flexneri serotype 5a (strain M90T) OX=1086030 GN=kbp PE=4 SV=1	Shigella flexneri serotype 5a (strain M90T)	149	755	99.3	100.0	5.6e-101
68	TR	A0A0H3PHU6	Potassium binding protein Kbp OS=Escherichia coli O157:H7 (strain EC869) OX=478008 GN=ECH7EC869_2913 PE=4 SV=1	Escherichia coli O157:H7 (strain EC869)	149	755	99.3	100.0	5.6e-101
69	TR	A0A384L847	Potassium binding protein Kbp OS=Shigella flexneri OX=623 GN=ygaU PE=4 SV=1	Shigella flexneri	149	755	99.3	100.0	5.6e-101
70	TR	A0A7Z1CZM0	Potassium binding protein Kbp OS=Shigella sonnei OX=624 GN=CI633_20390 PE=4 SV=1	Shigella sonnei	149	755	99.3	99.3	5.6e-101
71	TR	A0AA35ANZ9	Potassium binding protein Kbp OS=Escherichia coli O26 str. RM8426 OX=1055533 GN=I3M_20750 PE=4 SV=1	Escherichia coli O26 str. RM8426	149	755	99.3	100.0	5.6e-101
72	TR	A0A979GGP8	Potassium binding protein Kbp OS=Escherichia coli (strain SE11) OX=409438 GN=ECSE_2918 PE=4 SV=1	Escherichia coli (strain SE11)	149	755	99.3	100.0	5.6e-101
73	TR	A0A836NBW3	Potassium binding protein Kbp OS=Escherichia coli 2-460-02_S1_C1 OX=1444044 GN=AB05_3203 PE=4 SV=1	Escherichia coli 2-460-02_S1_C1	149	755	99.3	100.0	5.6e-101
74	TR	A0AAD2VDC1	Potassium binding protein Kbp OS=Escherichia coli O111 OX=1055535 GN=kbp PE=4 SV=1	Escherichia coli O111	149	755	99.3	100.0	5.6e-101
75	TR	C3SYE7	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	755	99.3	100.0	5.6e-101
76	TR	A0A069CIJ3	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=lysM PE=4 SV=1	Escherichia coli	149	755	99.3	99.3	5.6e-101
77	TR	A0A2S8DV57	Potassium binding protein Kbp OS=Shigella boydii OX=621 GN=ygaU PE=4 SV=1	Shigella boydii	149	755	99.3	100.0	5.6e-101
78	TR	A0A383K0F4	Potassium binding protein Kbp OS=Shigella flexneri OX=623 GN=ygaU PE=4 SV=1	Shigella flexneri	149	755	99.3	100.0	5.6e-101
79	TR	A0A9P2QXF1	Potassium binding protein Kbp OS=Escherichia coli O157 OX=1045010 GN=kbp PE=4 SV=1	Escherichia coli O157	149	755	99.3	100.0	5.6e-101
80	TR	A0A0I4N5I8	Potassium binding protein Kbp OS=Shigella sonnei OX=624 GN=kbp PE=4 SV=1	Shigella sonnei	149	755	99.3	100.0	5.6e-101
81	TR	A0A1X3IVY9	Potassium binding protein Kbp OS=Escherichia coli TA447 OX=656447 GN=ECXG_00818 PE=4 SV=1	Escherichia coli TA447	158	755	99.3	100.0	7.6e-101
82	TR	B7MYW7	Potassium binding protein Kbp OS=Escherichia coli O81 (strain ED1a) OX=585397 GN=ygaU PE=4 SV=1	Escherichia coli O81 (strain ED1a)	149	754	99.3	99.3	8e-101
83	TR	A0A330AXZ9	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=ygaU PE=4 SV=1	Escherichia coli	149	754	99.3	99.3	8e-101
84	TR	A0AAN3LI30	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	754	99.3	99.3	8e-101
85	TR	A0A8E0FP37	Potassium binding protein Kbp OS=Escherichia coli 97.0246 OX=869670 GN=EC970246_2430 PE=4 SV=1	Escherichia coli 97.0246	149	753	98.7	99.3	1.1e-100
86	TR	A0A826J8C9	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	753	99.3	99.3	1.1e-100
87	TR	A0A8T5WIA0	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	752	98.7	98.7	1.6e-100
88	TR	A0A0H3MNF4	Potassium binding protein Kbp OS=Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057 GN=ygaU PE=4 SV=1	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	149	752	98.7	98.7	1.6e-100
89	TR	A0AAJ3TYW5	Potassium binding protein Kbp OS=Escherichia coli H605 OX=656410 GN=EATG_01488 PE=4 SV=1	Escherichia coli H605	158	752	98.7	98.7	2.2e-100
90	TR	A0A376NTC8	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=ygaU PE=4 SV=1	Escherichia coli	149	751	98.7	99.3	2.3e-100
91	TR	A0AAV3I1K5	Potassium binding protein Kbp OS=Escherichia coli 3.4880 OX=1051347 GN=EC34880_3407 PE=4 SV=1	Escherichia coli 3.4880	149	751	98.7	99.3	2.3e-100
92	TR	A0A2S8JYN4	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=ygaU PE=4 SV=1	Escherichia coli	148	750	99.3	99.3	3.1e-100
93	TR	A0A7B3MLW6	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	750	98.7	99.3	3.2e-100
94	TR	A0A6D0XQT0	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=kbp PE=4 SV=1	Escherichia coli	149	750	98.7	98.7	3.2e-100
95	TR	A0A403D4R3	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=DNX30_22880 PE=4 SV=1	Escherichia coli	149	749	98.7	98.7	4.6e-100
96	TR	Q8X937	Potassium binding protein Kbp OS=Escherichia coli O157:H7 OX=83334 GN=ygaU PE=4 SV=2	Escherichia coli O157:H7	149	748	98.7	99.3	6.6e-100
97	TR	A0A370V7G8	Potassium binding protein Kbp OS=Escherichia marmotae OX=1499973 GN=kbp PE=4 SV=1	Escherichia marmotae	149	748	98.0	98.7	6.6e-100
98	TR	A0ABR8TI47	Potassium binding protein Kbp OS=Escherichia whittamii OX=2762229 GN=kbp PE=4 SV=1	Escherichia whittamii	148	747	98.6	98.6	9e-100
99	TR	A0ABU1DQS7	Potassium binding protein Kbp OS=Escherichia ruysiae OX=2608867 GN=kbp PE=4 SV=1	Escherichia ruysiae	149	745	98.0	98.0	1.9e-99
100	TR	A0A3R0X731	Potassium binding protein Kbp OS=Shigella dysenteriae OX=622 GN=DRW31_05475 PE=4 SV=1	Shigella dysenteriae	149	744	98.7	98.7	2.7e-99
101	TR	A0A1S9JPT1	Potassium binding protein Kbp OS=Shigella boydii OX=621 GN=AJR17_001275 PE=4 SV=1	Shigella boydii	149	744	98.7	98.7	2.7e-99
102	TR	A0A8S0FNL4	Potassium binding protein Kbp OS=Escherichia coli OX=562 GN=ygaU PE=4 SV=1	Escherichia coli	156	742	95.5	95.5	6.8e-99
103	TR	A0ABF7T103	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Tudu OX=2021402 GN=DUC28_14625 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Tudu	149	724	94.0	96.6	3e-96
104	TR	G5QL96	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Rubislaw str. A4-653 OX=913081 GN=LTSERUB_3518 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Rubislaw str. A4-653	149	724	94.0	96.6	3e-96
105	TR	G5Q4K0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Montevideo str. S5-403 OX=913242 GN=LTSEMON_3003 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Montevideo str. S5-403	149	724	94.0	96.6	3e-96
106	TR	A0A6C6ZHL4	Potassium binding protein Kbp OS=Salmonella heidelberg (strain SL476) OX=454169 GN=SeHA_C2975 PE=4 SV=1	Salmonella heidelberg (strain SL476)	149	724	94.0	96.6	3e-96
107	TR	A0A6C8LXA6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Lubbock OX=2077273 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Lubbock	149	724	94.0	96.6	3e-96
108	TR	A0A248KEL6	Potassium binding protein Kbp OS=Salmonella bongori serovar 66:z41:- str. SA19983605 OX=1243617 GN=LFZ56_05405 PE=4 SV=1	Salmonella bongori serovar 66:z41:- str. SA19983605	149	724	94.0	97.3	3e-96
109	TR	A0A974KHW3	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Rough O:d:1,7 OX=1974323 GN=R537_08695 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Rough O:d:1,7	149	724	94.0	96.6	3e-96
110	TR	A0AAJ8WWG6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Choleraesuis str. SCSA50 OX=904139 GN=ygaU PE=4 SV=1	Salmonella enterica subsp. enterica serovar Choleraesuis str. SCSA50	149	724	94.0	96.6	3e-96
111	TR	A0A2K0JF02	Potassium binding protein Kbp OS=Salmonella enterica subsp. houtenae serovar 50:g,z51:- OX=1173947 GN=RK55_011960 PE=4 SV=1	Salmonella enterica subsp. houtenae serovar 50:g,z51:-	149	724	94.0	96.6	3e-96
112	TR	A0A5Y2QLA8	Potassium binding protein Kbp OS=Salmonella enterica subsp. arizonae OX=59203 GN=lysM PE=4 SV=1	Salmonella enterica subsp. arizonae	149	724	94.0	96.6	3e-96
113	TR	A0A656ID81	Potassium binding protein Kbp OS=Salmonella enteritidis (strain 2009K0958) OX=1192586 GN=A673_04251 PE=4 SV=1	Salmonella enteritidis (strain 2009K0958)	149	724	94.0	96.6	3e-96
114	TR	V7ISN9	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Cubana str. 76814 OX=1192560 GN=A628_02069 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Cubana str. 76814	149	724	94.0	96.6	3e-96
115	TR	A0A6C8F2F2	Potassium binding protein Kbp OS=Salmonella virchow (strain SL491) OX=465517 GN=SeV_B2317 PE=4 SV=1	Salmonella virchow (strain SL491)	149	724	94.0	96.6	3e-96
116	TR	V1H2K6	Potassium binding protein Kbp OS=Salmonella enterica subsp. indica serovar 6,14,25:z10:1,(2),7 str. 1121 OX=1173950 GN=SEI61121_13233 PE=4 SV=1	Salmonella enterica subsp. indica serovar 6,14,25:z10:1,(2),7 str. 1121	149	724	94.0	96.6	3e-96
117	TR	G5NGZ0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Inverness str. R8-3668 OX=913075 GN=LTSEINV_4174 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Inverness str. R8-3668	149	724	94.0	96.6	3e-96
118	TR	A0A3Z2F7L5	Potassium binding protein Kbp OS=Salmonella typhimurium (strain ATCC 68169 / UK-1) OX=990282 GN=ygaU PE=4 SV=1	Salmonella typhimurium (strain ATCC 68169 / UK-1)	149	724	94.0	96.6	3e-96
119	TR	A0A6C7A2X0	Potassium binding protein Kbp OS=Salmonella dublin (strain CT_02021853) OX=439851 GN=SeD_A3097 PE=4 SV=1	Salmonella dublin (strain CT_02021853)	149	724	94.0	96.6	3e-96
120	TR	A0A0K0HDL7	Potassium binding protein Kbp OS=Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419) OX=218493 GN=SBG_2420 PE=4 SV=1	Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419)	149	724	94.0	97.3	3e-96
121	TR	A0A6C8GYG5	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Uganda str. R8-3404 OX=913083 GN=LTSEUGA_3921 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Uganda str. R8-3404	149	724	94.0	96.6	3e-96
122	TR	A0A8X6EU00	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Dublin str. SD3246 OX=909945 GN=ygaU PE=4 SV=1	Salmonella enterica subsp. enterica serovar Dublin str. SD3246	149	724	94.0	96.6	3e-96
123	TR	A0A636P360	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Guildford OX=2564497 GN=CC928_15595 PE=4 SV=1	Salmonella enterica subsp. enterica serovar Guildford	149	724	94.0	96.6	3e-96
124	TR	A0A657FQE6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Denver OX=1954177 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Denver	149	724	94.0	96.6	3e-96
125	TR	A0A5J1TUR0	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Meleagridis OX=486999 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Meleagridis	149	724	94.0	96.6	3e-96
126	TR	A0A6C7C5W7	Potassium binding protein Kbp OS=Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K OX=1243602 GN=LFZ47_06005 PE=4 SV=1	Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K	149	724	94.0	96.6	3e-96
127	TR	A0A379XLQ1	Potassium binding protein Kbp OS=Salmonella enterica subsp. indica OX=59207 GN=ygaU PE=4 SV=1	Salmonella enterica subsp. indica	149	724	94.0	96.6	3e-96
128	TR	A0A658IHV6	Potassium binding protein Kbp OS=Salmonella enterica subsp. enterica serovar Newport str. CFSAN000835 OX=1299174 GN=lysM PE=4 SV=1	Salmonella enterica subsp. enterica serovar Newport str. CFSAN000835	149	724	94.0	96.6	3e-96
